"volcano_number" "volcano_name" "eruption_number" "eruption_category" "area_of_activity" "vei" "start_year" "start_month" "start_day" "evidence_method_dating" "end_year" "end_month" "end_day" "latitude" "longitude" "start_date" "end_date" "eruption_length_in_days"
"139" 290360 "Chikurachki" 22127 "Confirmed Eruption" NA "2" 2016 3 29 "Historical Observations" 2016 3 31 50.324 155.461 2016-03-29 2016-03-31 2
"140" 312030 "Pavlof" 22129 "Confirmed Eruption" NA "2" 2016 3 27 "Historical Observations" 2016 7 30 55.417 -161.894 2016-03-27 2016-07-30 125
"141" 352090 "Sangay" 22237 "Confirmed Eruption" "Summit crater" "2" 2016 3 25 "Historical Observations" 2016 11 17 -2.005 -78.341 2016-03-25 2016-11-17 237
"142" 273010 "Bulusan" 22114 "Confirmed Eruption" NA "2" 2016 2 22 "Historical Observations" 2016 2 22 12.769 124.056 2016-02-22 2016-02-22 0
"143" 343100 "San Miguel" 22117 "Confirmed Eruption" NA "1" 2016 1 12 "Historical Observations" 2016 1 18 13.434 -88.269 2016-01-12 2016-01-18 6
"144" 357070 "Chillan, Nevados de" 22119 "Confirmed Eruption" "Nicanor crater" "2" 2016 1 8 "Historical Observations" 2020 4 17 -36.868 -71.378 2016-01-08 2020-04-17 1561
"145" 266030 "Soputan" 22105 "Confirmed Eruption" NA "3" 2016 1 2 "Historical Observations" 2016 2 7 1.112 124.737 2016-01-02 2016-02-07 36
"146" 344090 "Momotombo" 22107 "Confirmed Eruption" NA "2" 2015 12 1 "Historical Observations" 2016 4 7 12.423 -86.539 2015-12-01 2016-04-07 128
"147" 272020 "Kanlaon" 22106 "Confirmed Eruption" NA "2" 2015 11 24 "Historical Observations" 2016 6 18 10.412 123.132 2015-11-24 2016-06-18 207
"148" 261140 "Marapi" 22111 "Confirmed Eruption" NA "1" 2015 11 14 "Historical Observations" 2015 11 14 -0.38 100.474 2015-11-14 2015-11-14 0
"149" 263310 "Tengger Caldera" 22103 "Confirmed Eruption" "Bromo cone" "2" 2015 11 12 "Historical Observations" 2016 11 12 -7.942 112.95 2015-11-12 2016-11-12 366
"150" 355100 "Lascar" 22110 "Confirmed Eruption" NA "2" 2015 10 30 "Historical Observations" 2017 4 2 -23.37 -67.73 2015-10-30 2017-04-02 520
